name,category1,zan,zhuanfa,pinglun,read
Jungle6626, · 沪深,2,0,0,5
海鸥投资, · 沪深,39,10,42,9.2
梁思禺, · 沪深,53,39,57,10.1
老陈爱炒股, · 沪深,9,5,3,3.9
e公司, · 沪深,4,1,1,7.2
e公司, · 沪深,2,1,0,3.4
野马财经, · 沪深,12,4,10,5.7
量化小王子, · 沪深,5,2,6,2.5
读懂上市公司, · 沪深,29,36,28,11.3
爱读财报的新人, · 沪深,1,2,2,1.6
qs_cn, · 沪深,7,0,12,2.9
阿猫投资, · 沪深,5,1,6,2.3
一朵喵, · 沪深,29,24,29,3.5
e公司, · 沪深,4,0,0,6.1
华泰机械章诚团队, · 沪深,3,1,2,3.3
价值ETF, · 沪深,17,19,6,3.8
神光财经, · 沪深,80,68,24,6.4
中巴价投研习社, · 沪深,7,1,2,3.5
暴击君, · 沪深,24,7,21,5.6
范德依彪, · 沪深,26,2,12,3
一见财经, · 沪深,96,79,434,47.4
华商韬略, · 沪深,50,6,11,14.7
辉常观察, · 沪深,3,0,0,5
何纯在南国, · 沪深,15,23,11,5.6
E药经理人, · 沪深,7,2,2,4
竺劲-分析师, · 沪深,2,1,1,7.5
邓元杰, · 沪深,75,50,74,11.1
华创策略王君团队, · 沪深,2,2,2,5.6
商业人物, · 沪深,13,3,0,7.1
micromicro, · 沪深,1,1,6,5.5
Z帅的笔记, · 沪深,2,0,1,2.8
数据宝, · 沪深,16,4,12,11.1
数据宝, · 沪深,46,22,9,12.6
数据宝, · 沪深,0,4,3,5.9
牛熊交易室, · 沪深,10,6,7,3.8
券商中国, · 沪深,1,1,0,4.5
券商中国, · 沪深,4,0,3,4
AliceJIU, · 沪深,4,0,4,3.1
半导体ARM, · 沪深,18,22,19,6.3
证券时报网, · 沪深,7,1,1,5.7
趣炒股, · 沪深,7,0,4,5.6
英才杂志, · 沪深,7,7,3,4.3
长白云之乡, · 沪深,20,11,2,3.3
凡夫俗子euvbrv, · 沪深,20,14,50,2.7
海略, · 沪深,30,53,25,4
富凯财经, · 沪深,3,1,7,2.6
证券时报网, · 沪深,5,1,3,3.7
证券时报网, · 沪深,2,0,1,3.8
投资从入门到精通, · 沪深,39,14,46,7.1
清友会, · 沪深,1,0,3,3.1
凯恩斯-财经名博, · 沪深,12,13,13,4.7
九卦金融圈, · 沪深,1,0,3,2.7
梧桐树下V, · 沪深,1,0,6,3.1
梧桐树下V, · 沪深,2,2,0,5
知微云, · 沪深,0,0,0,4.1
洪锦屏, · 沪深,2,0,0,5.2
洪锦屏, · 沪深,2,0,0,3.2
量子位, · 沪深,5,1,0,3.4
矿业界, · 沪深,3,2,1,3.8
江南一叶, · 沪深,1,0,0,2.6
流水白菜, · 沪深,45,35,45,12.6
十年如一, · 沪深,7,11,8,7.4
华泰宏观李超团队, · 沪深,1,1,0,2.5
全景网, · 沪深,17,6,0,4.2
舍得就快乐1314, · 沪深,30,13,29,4.7
此物最相思, · 沪深,0,7,2,1.6
今日话题, · 沪深,93,92,708,173.4
越声理财, · 沪深,9,4,6,6.9
信风财经, · 沪深,2,0,3,5.6
财局, · 沪深,20,7,7,7.7
油纸伞的雨巷, · 沪深,19,13,23,9.7
chris_jiang2002, · 沪深,8,3,5,3.2
凡德投资, · 沪深,0,1,0,4.3
玩赚组合, · 沪深,46,1,10,12.1
聆听的MK, · 沪深,11,7,12,5.2
艾美达行业研究, · 沪深,0,0,1,5.7
IPO内参, · 沪深,0,0,1,3.9
小彩贝, · 沪深,12,14,10,7.4
中巴价投研习社, · 沪深,15,12,5,4.3
钱真理, · 沪深,16,13,12,6.6
庚白星君, · 沪深,11,21,18,5
投资眼老A, · 沪深,3,1,4,3.4
淡忘的岁月, · 沪深,18,17,44,5
中巴价投研习社, · 沪深,24,19,13,13.6
懂懂笔记, · 沪深,3,0,2,4.6
侃科技王新宇, · 沪深,6,3,6,4.8
投行大师兄, · 沪深,20,8,21,7.8
沪深300增强, · 沪深,2,0,1,3.5
迷你游资, · 沪深,8,7,16,6.8
医药魔方, · 沪深,13,20,9,5.3
中巴价投研习社, · 沪深,8,9,8,4.9
亿利达, · 沪深,14,11,24,6.2
e公司, · 沪深,11,3,9,5
好股007, · 沪深,1,6,6,2.8
好股007, · 沪深,0,0,3,3.6
中巴价投研习社, · 沪深,17,15,2,2.8
中巴价投研习社, · 沪深,13,14,3,3.2
太平公司说, · 沪深,5,2,5,4.2
面包财经, · 沪深,2,1,1,2.6
波浪带我去战斗, · 沪深,5,2,3,2.1
投资人说, · 沪深,0,1,0,5.7
新旅界, · 沪深,1,1,3,4.3
海椒妞的网贷日记, · 沪深,2,0,2,2.4
庖丁解酒, · 沪深,7,3,4,5.1
天风建筑, · 沪深,8,1,3,7.7
我是六便士, · 沪深,8,3,10,7.1
天风证券研究所, · 沪深,1,0,1,4.8
券商中国, · 沪深,7,1,2,10.8
定增并购圈, · 沪深,5,1,3,6.3
颐园财经, · 沪深,6,0,1,9.1
復虚知常, · 沪深,1,1,4,4.2
砺石商业评论, · 沪深,11,5,40,5.4
安信赵湘怀, · 沪深,0,0,0,2.3
风格偏价值的小渔, · 沪深,18,13,21,8.5
陈娇-兴业农业, · 沪深,2,1,3,4.9
DoNews游戏, · 沪深,1,0,0,2.6
DoNews游戏, · 沪深,0,0,0,2.3
DoNews游戏, · 沪深,0,0,0,1.9
野马财经, · 沪深,11,2,15,11.3
Osbornzheng, · 沪深,1,0,3,3.8
投资禅院, · 沪深,2,0,0,6.3
Neomu, · 沪深,2,1,5,4.2
财经故事会, · 沪深,1,1,0,1.9
央行观察, · 沪深,0,1,0,2.4
经济学家吴裕彬, · 沪深,10,0,0,2.1
观点地产新媒体, · 沪深,2,0,0,1.7
观点地产新媒体, · 沪深,1,0,0,2.3
野马财经, · 沪深,1,0,1,2.2
观点地产新媒体, · 沪深,1,0,0,2.1
易简财经, · 沪深,0,2,18,2.6
束海峰华创通信, · 沪深,1,0,0,4.5
菜鸟理财, · 沪深,1,0,0,3.1
君临, · 沪深,7,6,10,4.8
崔琰, · 沪深,0,0,1,4.7
电子研究员, · 沪深,5,1,2,4.6
智通财经app, · 沪深,1,0,0,4.2
市值风云, · 沪深,30,5,11,8.8
投资从入门到精通, · 沪深,30,14,30,5
一见财经, · 沪深,6,1,6,5.5
加贝致赢, · 沪深,2,7,25,2.3
周易投资札记, · 沪深,5,2,2,3.3
山山是峰, · 沪深,6,2,20,3.1
今日话题, · 沪深,57,14,6,12
孙骁骥, · 沪深,15,15,46,6.5
强盗大魔王, · 沪深,81,43,35,16
汇昱, · 沪深,6,6,28,4.1
正和岛, · 沪深,8,4,4,7.6
酸菜粉儿, · 沪深,37,20,25,8
杠杆游戏, · 沪深,16,8,10,7.4
舍得就快乐1314, · 沪深,16,9,37,8.7
股社区, · 沪深,84,9,50,32.7
拙水壶, · 沪深,2,0,1,6
云财经, · 沪深,20,11,6,8.2
二十四节气, · 沪深,6,4,9,3.5
证券时报网, · 沪深,14,2,2,10.7
数据说明一切, · 沪深,18,3,2,9.8
Z帅的笔记, · 沪深,6,0,0,3.9
投资从入门到精通, · 沪深,10,5,16,5.6
e公司, · 沪深,14,3,6,7
布衣书生走天下, · 沪深,53,57,19,6.4
华商韬略, · 沪深,26,11,5,7.7
e公司, · 沪深,4,5,11,5.7
薇薇庄主, · 沪深,13,2,23,5
交易链, · 沪深,8,6,3,5.4
小股民俱乐部, · 沪深,12,1,9,6.4
巨丰财经, · 沪深,4,0,1,4.3
价值ETF, · 沪深,13,3,4,7.3
投资从入门到精通, · 沪深,42,8,19,9.7
云财经, · 沪深,6,3,0,5.5
安信通信夏庐生彭虎, · 沪深,6,6,10,10.6
白小楼, · 沪深,4,1,3,5.2
远见财讯, · 沪深,4,0,3,4.7
临川柴, · 沪深,12,4,21,6.6
驽马-估值温度计, · 沪深,1,0,10,3.7
E药经理人, · 沪深,18,20,7,7.2
中巴价投研习社, · 沪深,65,44,63,18.1
麦田里的守望者J, · 沪深,3,0,3,3.2
沪深300股票大作手, · 沪深,20,5,30,8.6
氯吡格雷, · 沪深,12,3,10,6.7
光明财经, · 沪深,1,0,16,5.9
醉墨轻歌, · 沪深,3,3,3,2.9
我是投资人, · 沪深,8,7,8,6.4
標竿價值投資, · 沪深,20,12,31,5.4
熊出墨请注意, · 沪深,4,1,0,7
此物最相思, · 沪深,14,17,5,6.2
歪道道评论, · 沪深,2,1,2,4.3
数据宝, · 沪深,51,10,10,9.5
数据宝, · 沪深,13,3,3,8.2
刘正林_LEO, · 沪深,7,1,20,3.6
股海无涯ANDY, · 沪深,2,0,13,1.1
大西瓜111, · 沪深,12,7,15,2.5
新旅界, · 沪深,0,0,0,2
薛洪言, · 沪深,4,0,3,1.9
江瀚视野, · 沪深,0,1,1,9919
江瀚视野, · 沪深,6,0,4,2
钉科技, · 沪深,1,2,3,2.4
行业研究报告, · 沪深,2,3,0,2.4
新旅界, · 沪深,2,0,0,3.5
IPO内参, · 沪深,0,0,0,2
证券时报网, · 沪深,2,1,1,3.3
证券时报网, · 沪深,11,2,2,4.9
越声理财, · 沪深,4,1,3,2
中巴价投研习社, · 沪深,12,33,11,2.4
投资眼老A, · 沪深,2,3,3,2.1
蛇叔画足, · 沪深,1,0,0,1.9
土妖, · 沪深,0,1,0,2
新三板府, · 沪深,4,1,4,2.3
功夫财经, · 沪深,2,0,0,1.6
IT耳朵, · 沪深,1,0,0,1.9
蓝鲸银行资讯, · 沪深,1,0,0,1
中邮基金, · 沪深,0,0,3,2
拙朴, · 沪深,11,15,8,5.1
投资从入门到精通, · 沪深,15,8,17,3.6
阿狸, · 沪深,57,29,78,20.3
民工君, · 沪深,18,4,8,5.7
知常容, · 沪深,59,158,115,6.3
凡德投资, · 沪深,3,1,1,3.2
全景网路演天下, · 沪深,11,4,3,3.5
富凯财经, · 沪深,5,0,1,2.3
知常容, · 沪深,9,4,8,2.2
知微云, · 沪深,1,0,0,1.7
华商韬略, · 沪深,3,0,0,2.1
玩赚组合, · 沪深,17,1,1,18.8
玩赚组合, · 沪深,58,1,16,14.4
券商中国, · 沪深,15,2,29,7.9
经济观察报, · 沪深,2,2,8,5.5
经济观察报, · 沪深,1,1,1,3.5
经济观察报, · 沪深,2,2,2,2.9
一见财经, · 沪深,3,1,13,3.3
宋雪涛的宏观策略, · 沪深,2,4,8,6
红利基金, · 沪深,31,60,12,9.1
江南一叶, · 沪深,4,1,6,7.3
IPO日报, · 沪深,6,0,5,6.5
越声理财, · 沪深,1,2,0,4.7
寻找戴维斯, · 沪深,25,14,9,4.3
史密斯岩折鸣, · 沪深,5,4,5,3.6
中巴价投研习社, · 沪深,13,17,7,3.7
量化简财, · 沪深,11,23,4,4.7
数据挖掘机, · 沪深,4,4,7,6.3
IPO日报, · 沪深,0,1,1,3.5
越声理财, · 沪深,5,1,1,3
IPO日报, · 沪深,0,1,2,2.9
独立投资人金立成, · 沪深,9,2,3,3.1
丹书铁券, · 沪深,85,40,81,45.8
中国LED在线, · 沪深,2,1,3,4.1
股市药丸, · 沪深,4,1,0,7.4
逍遥三无, · 沪深,28,7,20,11.7
齐丁, · 沪深,1,6,2,3.8
束海峰华创通信, · 沪深,0,0,0,4.6
风格偏价值的小渔, · 沪深,4,3,9,4.4
天风证券研究所, · 沪深,0,2,1,5.8
投壶, · 沪深,1,1,0,3.8
投壶, · 沪深,4,2,1,5.4
招商策略张夏, · 沪深,2,1,1,3.6
张文录华创, · 沪深,0,3,0,2.6
XYQUANT, · 沪深,0,0,0,2.9
老布, · 沪深,17,7,5,5.7
数据咖, · 沪深,2,0,1,5.6
量子位, · 沪深,2,4,1,2.2
天风建筑, · 沪深,1,2,1,2
衣香人影2010, · 沪深,3,2,4,2.5
项乾公众号, · 沪深,3,0,0,3
财经故事会, · 沪深,2,2,1,3.6
华宝添益, · 沪深,10,6,4,8.3
好股007, · 沪深,2,1,1,2.8
北极之巅, · 沪深,16,8,24,3.5
好股007, · 沪深,2,2,7,5.1
远山-Gorn, · 沪深,11,16,15,3.3
强盗大魔王, · 沪深,25,23,18,4
David_fnance, · 沪深,0,0,0,1.7
郑凯Kay, · 沪深,3,2,0,3.5
格邓巴, · 沪深,4,2,5,6.9
unite_zhao, · 沪深,2,1,0,6.9
徐_达, · 沪深,5,16,14,3.8
叮当他哥, · 沪深,57,72,176,162.8
e公司, · 沪深,10,1,0,7.5
ice_招行谷子地, · 沪深,97,84,94,118
友联老羊, · 沪深,16,10,26,5.3
军工行业ETF, · 沪深,1,1,2,2.6
一只大鹏, · 沪深,9,4,8,3.5
疯狂的小二爷, · 沪深,4,1,2,3.3
中巴价投研习社, · 沪深,8,3,2,2.5
山行, · 沪深,31,9,9,9.5
Sparrow力, · 沪深,1,0,0,2.1
新能源趋势投资, · 沪深,0,0,0,3
北极星电力网, · 沪深,6,0,0,4.1
机器之能, · 沪深,1,1,1,3.6
小孬研究所, · 沪深,8,14,12,9
华创策略王君团队, · 沪深,3,0,0,5.6
Alpha_F, · 沪深,13,10,32,5.7
雪球访谈, · 沪深,11,3,12,16.5
持有封基, · 沪深,20,12,27,7.9
价值at风险, · 沪深,16,16,19,14.1
老钱说钱, · 沪深,14,7,5,11.2
网易清流工作室, · 沪深,1,1,1,7.4
斑马消费, · 沪深,19,9,14,15.5
君临, · 沪深,32,5,8,14.3
郑海晓_CFA, · 沪深,3,3,4,4.1
市值风云, · 沪深,207,106,189,135.3
市值风云, · 沪深,13,2,8,9
蓝鲸TMT, · 沪深,0,1,0,3
张志雄V, · 沪深,4,7,1,2.6
面包财经, · 沪深,3,2,6,2.8
Maybe的投资笔记, · 沪深,16,11,23,10.5
强盗大魔王, · 沪深,42,7,17,25.5
后来居上_Dioyan, · 沪深,5,4,30,9.5
电子研究员, · 沪深,30,27,17,17.5
TMT吴友文, · 沪深,10,0,3,13.1
要闻直播, · 沪深,104,45,173,195.8
股社区, · 沪深,93,26,33,30
证券时报网, · 沪深,1,3,3,5.8
云财经, · 沪深,17,12,7,10.5
舒颜, · 沪深,25,17,23,8.9
范德依彪, · 沪深,60,13,27,24.5
e公司, · 沪深,11,2,6,14.7
书生老徐, · 沪深,96,43,21,18.1
e公司, · 沪深,18,12,6,19.4
股海萌侠, · 沪深,7,1,1,12.4
牛魔王炒牛股, · 沪深,49,15,18,8.2
e公司, · 沪深,8,5,3,7.3
Z帅的笔记, · 沪深,13,0,5,8
全景网, · 沪深,29,22,5,16.2
庚白星君, · 沪深,35,41,43,9.4
